Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Fature 7,Feature 8,Feature 9,Target
10478.5,10057.8,16552.9,10632,9838.7,0,1562.05,0,-0.274543,0
10400,10000,16469.4,10577.3,9750.9,0,1720.47,0,-0.307497,0
10324.7,9945.85,16387.8,10526.2,9666.44,0,1708.8,0,-0.338765,0
10252.8,9895.45,16308.3,10478.5,9585.41,0,1649.24,200,-0.360871,0
10184.3,9848.86,16230.8,10434.6,9507.89,0,1612.45,200,-0.373458,0
10119.3,9806.12,16155.5,10394.2,9433.98,0,1600,0,-0.380328,0
10057.8,9767.29,16082.3,10357.6,9363.76,0,1612.45,200,-0.382985,0
9374.43,7939.77,15012,8655.63,7045.57,0,3224.9,3671.51,-0.489087,0
9208.69,7789.74,15005.3,8504.12,6881.86,0,3400,3841.87,-0.360231,0
13927,13840.5,20530,14289.9,13648.4,0,200,2408.32,-0.436479,0
13813,13718.6,20396.1,14153.4,13535.1,0,282.843,2433.1,-0.410267,0
13701.1,13579.4,20263.3,14018.6,13423.9,0,447.214,2473.86,-0.370186,0
13591.2,13441.7,20131.6,13885.2,13296.6,0,632.456,2280.35,-0.34483,0
13483.3,13305.6,20001,13753.5,13159,0,824.621,2088.06,-0.324539,0
13377.6,13171.2,19871.6,13623.5,13023.1,0,1019.8,1897.37,-0.307791,0
13274,13038.4,19743.4,13495.2,12888.8,0,1216.55,1708.8,-0.306818,0
13172.7,12907.4,19616.3,13368.6,12756.2,0,1414.21,1523.15,-0.274524,0
10742.4,10309.2,16819,10881.2,10107.4,0,1562.05,282.843,-0.222314,0
10662.1,10248.9,16734.4,10824,10018,0,1697.06,200,-0.241825,0
10584.9,10192.2,16651.7,10770.3,9931.77,0,1843.91,200,-0.273481,0
10510.9,10139,16571.1,10720.1,9848.86,0,1897.37,200,-0.31135,0
10440.3,10089.6,16492.4,10673.3,9769.34,0,1843.91,200,-0.33767,0
10373,10043.9,16415.8,10630.1,9693.3,0,1811.08,200,-0.355789,0
10309.2,10002,16341.4,10590.6,9620.81,0,1800,0,-0.369563,0
10248.9,9963.93,16269,10554.6,9551.96,0,1612.45,200,-0.37719,0
9602.08,8221.92,15221,8937.56,7323.93,0,2952.96,3400,-0.414274,0
9486.83,8072.17,15211.8,8786.35,7161.01,0,3130.5,3560.9,-0.377371,0
9323.09,7924.65,15205.3,8637.13,7000,0,3310.59,3720.22,-0.276723,0
9160.79,7779.46,15201.3,8489.99,6841.05,0,3492.85,3883.3,-0.121999,0
9000,7636.75,15200,8345.06,6684.31,0,3676.96,4049.69,0.0754786,0
8840.81,7496.67,15201.3,8202.44,6529.93,0,3862.64,4103.66,0.271767,0
8683.32,7359.35,15205.3,8062.26,6378.09,0,4049.69,3959.8,0.462567,0
8527.6,7224.96,15211.8,7924.65,6228.96,0,4237.92,3820.99,0.599812,0
5578.53,5403.7,11896.2,5803.45,3405.88,0,5200,1800,-0.180046,0
5531.73,5414.79,11704.7,5800,3400,0,5203.84,1811.08,-0.167449,0
5491.81,5433.23,11513.5,5800,3400,0,5215.36,1800,-0.143267,0
5440.59,5458.94,11322.5,5800,3405.88,0,5200,1800,-0.133963,0
5385.17,5491.81,11131.9,5800,3423.45,0,5126.4,1811.08,-0.108752,0
18491.1,18560.2,21732.9,19359.8,15689.5,0,3130.5,4440.72,-0.844458,0
18335.8,18401.1,21711.7,19192.7,15652.5,0,2952.96,4280.19,-0.826156,0
18181.3,18242.8,21692.4,19026.3,15617.9,0,2778.49,4123.11,-0.816884,0
18027.8,18085.4,21674.9,18860.5,15585.9,0,2607.68,3969.89,-0.805647,0
17875.1,17928.7,21659.2,18695.5,15556.3,0,2441.31,3820.99,-0.792262,0
